Time,Nome,Usuario,Texto,Data,topicos,Stop words
Fluminense,guimarãess,@guimaffc,"merece fluminense fudido 2019, 2009, 2017, 2018, 2024",2026-03-19 19:03:32,,"tu, o, de"
Flamengo,𐙚 jessi • arirang,@yoonbg7,"flamengo 20h comeback arirang 01hr, army flamenguista hoje soltando fogos!!!",2026-03-19 19:03:30,,"e, tá"
Flamengo,CFD - Futebol e Fantasies,@CFD_Oficial,": rossi; emerson royal, léo ortiz, léo pereira alex sandro; pulgar, jorginho arrascaeta; luiz araújo, samuel lino pedro. : marcelo rangel; marcelinho, marllon, tchamba kayky almeida; picco, zé ricardo, patrick paula vitor bueno; jajá alef manga.",2026-03-19 19:03:30,"Flamengo, Remo","e, e, e, e, de, e, e"
Flamengo,DECO SRN,@Deco_SRN,flamengo remo escalados!,2026-03-19 19:03:27,,e
Flamengo,Deivede,@Deivede73,indo ver flamengo remo porque nunca vou saber quando vou poder ver jogo remo novo hino remo bonito quero arranjar camisa remo porque foda flamengo vou torcer pro remo brincadeira bora flamengo leo jardim,2026-03-19 19:03:24,,"e, eu, um, do, de, e, por, que, o, do, é, e, por, que, eu, uma, do, e, se, o, do"
Flamengo,Cadu Azevedo,@caduazvdo,cbf quer salvar flamengo libra,2026-03-19 19:03:24,,"a, o, da"
Grêmio,Central Cartola,@central_cartola,brasileirão - 7ª rodada: bola rolando grêmio 0x0 vitória,2026-03-19 19:03:23,,
Grêmio,Felippe Garcia,@Garcia_Itaipu,camisa horrenda grêmio.,2026-03-19 19:02:37,,"que, do"
Grêmio,Iago Ferreira,@arquiteto_iago,começou! grêmio vitória estão campo.,2026-03-19 19:02:37,,"e, em"
Flamengo,Sankin,@SankinBR,"novos investimentos ou nao n impede nada dividir igualmente os lucros atuais novo sua jamanta animal, flamengo n vai ganhar msm q fluminense ou q remo, flamengo vai ganhar mais, só n vai ganhar 15 x mais",2026-03-19 19:02:37,,"em, e, de, o, o, o"
Flamengo,AdoniasRdeCNeto,@AdoniasRdeCNeto,"palmeiras ligar sac cbf. comprou campeonato entregaram pro flamengo, segundo sua teoria.",2026-03-19 19:02:37,,"o, tem, que, no, da, o, e, foi, a"
Fluminense,Anderson,@andrssonaraujjo,"fluminense conseguiu tomar gol victor luís, resume muito clássico",2026-03-19 19:02:37,,"o, do, isso, o, que, é, o"
Grêmio,Luiz Filipe Macedo,@lzfmacedo,"entendo importância financeira, mas podia ter diretriz proibindo patrocínio master pra poder deixar frente camisas futebol bem lisinhas grêmio hoje patrocínio master espetáculo",2026-03-19 19:02:37,,"a, uma, a, das, de, essa, do, sem, tá, um"
Flamengo,Ponci,@vitor_ponciano,po cara vdd 5 jogos maracanã mês você n for sócio pagar 1/2 vasco - r$ 50 flamengo - r$ 60 athletico - r$ 45 vasco - r$ 60 atlético mg - r$ 45 total - r$ 260 for inteiras r$ 520 for sócio 160 sócio + 60 vs vasco 220 só ingresso fica foda pro clt,2026-03-19 19:02:37,,"de, no, no, se, e, se, de, se, do, de"
Flamengo,TETRACAMPEÃO,@brunoestevaocrf,esses times mais modestos adoram dar vida contra gente pra vender caro derrota dps abrem as pernas pros outros adversários kkk foda flamengo. mas vamos vencer,2026-03-19 19:02:37,,"a, a, a, e, é, ser, o"
Flamengo,alicia ᶜʳᶠ,@clickd99,"muito isso, vei, não sei flamengo aguenta",2026-03-19 19:02:37,,"se, o"
Corinthians,Fiel Cartoon • Comissões Abertas •,@FielCartoon,daqui pouco corinthians campo!! chapecoense x corinthians campeonato brasileiro - 7ª rodada 21h30 arena condá amazon prime video,2026-03-19 19:02:37,VaiCorinthians,"a, tem, em"
Flamengo,@CRF News,@CRFNews1895,"nosso time gente campo! confira flamengo enfrentar remo, pelo brasileirão!",2026-03-19 19:02:37,"escalação, FLAxREM","é, a, em, a, do, para, o"
Vasco,GIOVANE DOS SANTOS,@Giovane170,só estou vendo ou vocês também?? vários flamenguistas fazendo vídeos falando bem torcida vasco kkkkkkkkk quer ganhar engajamentos mas está tranquilo torcida vasco braba mesmo,2026-03-19 19:02:37,,"é, eu, que, isso, da, do, eles, a, do, é"
Corinthians,A.netinha REVOLTADA,@AnnetteCarvalh4,"deus, pfv deus faça corinthians ganhar cumeiras f0der sempre",2026-03-19 19:02:37,,"o, e, o, se"
Grêmio,Rafael Targanski,@RTarganski,não parece camisa grêmio longe sequer parece tricolor. crime clube deixou new balance fazer,2026-03-19 19:02:37,,"que, é, a, do, e, de, ser, é, um, o, que, o, a"
Cruzeiro,ϟ,@sexccism,"salve dono cruzeiro! saravá, seu tiriri.",2026-03-19 19:02:37,,"o, do"
Palmeiras,PLACAR,@placar,clássico! são paulo palmeiras trocam farpas antes clássico pelo brasileirão,2026-03-19 19:02:37,,"é, e, de"
Grêmio,Grêmio News,@canalgremionews,grêmio confirma promoção cinco jovens ao elenco principal,2026-03-19 19:02:37,,"a, de"
Flamengo,Marquinhos Assunçãoᶜʳᶠ,@MarquinhosAssu2,"arbitragem definida ! comissão arbitragem cbf, confirmou nome árbitro pernambucano rodrigo josé pereira lima comandar corinthians x flamengo, domingo, 20:30 horas neo química arena.",2026-03-19 19:02:37,,"a, de, da, o, do, de, para, na"
Flamengo,Bruno Lemos,@Lemos_Santos,flamengo confirmado escalado luiz araújo entre os titulares. samuel lino pela segunda vez consecutiva como titular. pedro também segue mantido entre os titulares pela quarta partida entres os tirantes era jardim. paquetá começará como opção banco reservas.,2026-03-19 19:02:37,,"e, com, na, no, de"
Flamengo,José Tomás Fernández Pumarino,@fernandez_puma,"formación confirmada agustín rossi (); emerson royal, léo ortiz, leo pereira, alex sandro; erick pulgar (), jorginho (); giorgian arrascaeta (); luiz araújo, pedro guilherme y samuel lino. dt: leonardo jardim ().",2026-03-19 19:01:37,Flamengo,"de, de"
São Paulo,Antonio Morgado,@Antonio04454934,racista fdp nessas merdas são paulo vota bolsonaristas golpista covarde,2026-03-19 19:01:37,,"é, que"
Santos,Cezar Mateos,@CezarMateo21649,só lembrando ninguém queria assumir santos após saída kleber xavier.,2026-03-19 19:01:37,,"que, o, a, do"
Santos,victorbrreto.,@barreto_v99,"porra , santos vai eliminado pelo athletic",2026-03-19 19:01:37,,ser
Corinthians,Felippe SFC,@Felippe_x0,"ainda chorando fdp? vai torcer pro corinthians doente, parece criança mimada",2026-03-19 19:01:37,,"tu, tá"
Palmeiras,Statham Cabeludo,@JasonCabeludo,todos fazem. mas palmeiras faz muuuuuuito mais… desde as entrevistas abel até “protocolo weverton” time grito,2026-03-19 19:01:37,,"o, do, o, é, o, do"
Grêmio,Thiago Schönhof,@tschinoff,coisa horrível fonte dourada camisa grêmio,2026-03-19 19:01:37,,"que, essa, da, do"
Santos,NPOMV | Zine,@npomvtt,"faz tudo! kauê penna (santos bravos) comentou cover jaehyun (boynextdoor) postou ""menina vermelho"". ""incrível brother, muito bom poder te ajudar pronúncia orgulho"".",2026-03-19 19:01:37,,"ele, no, que, de, de, com, a, que"
São Paulo,pie roan ⋆,@jaovampire,"ingresso pra mim dia 21/03 uni? moro são paulo, tenho roupa mas não tenho ingresso",2026-03-19 19:01:37,,"um, no, em, a, o"
Palmeiras,Hugo Bertovi,@HBertovi,"opção mais provável, roubo favor palmeiras",2026-03-19 19:01:37,,"tem, a, a, do"
Flamengo,versão masculina da Lolly Vômito,@sportstanx,os times mais ladrões mund dps flamengo,2026-03-19 19:01:37,,"do, do"
Santos,gurgel,@orenangurgel,meu sonho afilhado hytalo santos,2026-03-19 19:01:37,,"ser, do"
Santos,É O TUBAS #SAFnoSantos,@Santao1912,"hora almoço pensando como seria vida santos tivesse presidente ama clube, trabalhe brigar títulos voltar crescer",2026-03-19 19:01:37,,"eu, na, do, em, a, se, o, um, que, o, que, para, ele, por, e, a"
Grêmio,João,@joaoandrade42,maldição todo jogo grêmio narrado pelo dan dan,2026-03-19 19:01:37,,"que, é, essa, que, do, é"
Vasco,Jorge Nicola,@jorgenicola,"ao vivo: timão, fla, verdão, sp, zêro, galo, vasco, santos, flu, bota, grenal, mercado, lusa+",2026-03-19 19:01:37,,
Corinthians,JULIO CAPALBO,@KING_CAPALBO,"conmebol libertadores sorteio 2026. os grupos fases, seus nomes três clubes, jogos, corinthians-tetracampeão copa brasil? , , .",2026-03-19 19:01:37,"Libertadores, CopaDoBrasil, Conmebol, Brasileirão2026","a, da, do, em, de, dos, de, dos, do, da, do, e"
Fluminense,JVzada,@JVguimaraesb21,"jogador vale 20 fluminense vende 10 jogador vale 15 fluminese vende 5,5 jogador vale 10 fluminense vende 1 + metas jogador nunca bate muito amaradorismo ! muita canalhice!! fora abutres!!",2026-03-19 19:01:37,,"que, o, é, é"
Flamengo,JcFlamengo,@flamengo_jc,chegou hora flamengo dar troco palmeiras kkkk,2026-03-19 19:01:37,,"a, do, o, no"
São Paulo,bê pontes,@gato__comunista,como vocês moram são paulo.,2026-03-19 19:01:37,,em
Palmeiras,Catão,@carlosedcatao,posso falar mesmo erro copa brasil pênalti eo caleri tava impedido eo palmeiras eliminado! sim pior erro história var pois as imagens sumiram!,2026-03-19 19:01:37,,"o, do, da, do, que, na, foi, foi, esse, foi, o, da, do"
Grêmio,Filipe,@filipe_lohn,opinião impopular! nem parece grêmio uniforme aí.,2026-03-19 19:01:37,,"o, com, esse"
São Paulo,Juliana,@julianaasouza9,"vendo meus ingressos lollapalooza 2026 lolla day • 20 21 março • meia entrada aceito cartão pix. me chama whatsapp tags: vendo, compro, vendo, ingresso, lolla, festival, são paulo, sexta, sábado,",2026-03-19 19:01:37,,"e, de, e"
Santos,PELÉ o maior jogador da história O Rei do Futebol,@santista1963,"clube desgraça, odeio demais santos, desejo tudo ruim pra merda clube, seja rebaixado denovo nunca mais volte pra série a, lugar desse timeco pequeno insignificante série b, anunciaram estuprador, larguei mão, foda santos.",2026-03-19 19:01:37,,"esse, é, uma, eu, o, de, essa, de, que, e, o, e, é, na, um, de, que, se, o"
Botafogo,Mazinho,@Mazinho0206,parecendo goleiro botafogo kk,2026-03-19 19:01:37,,"tá, o, do"
Vasco,lz,@lzmenz,"beleza mosaico ucrânia feito pelos *espectadores* tricolores devido ao espaço vazio seto, já te incomodou fato disso ou ainda chorando pensando vasco?",2026-03-19 19:01:37,,"e, o, da, no, o, tá, no"
Vasco,Michael the Jackson,@saudino0,"música cantada antes primeiro gol, momento empate virada era ""dale meu vasco""",2026-03-19 19:01:37,,"essa, foi, do, no, do, e, da"
Flamengo,mavis. ❦,@cellvamp,acho meu look amanha será blusinha cunt flamengo,2026-03-19 19:01:37,,"que, de, uma, do"
Flamengo,Nicki Magaj,@sepay1914,raaaaaaaaaaaaaaaaangeeeeeeel faz mais defesa espetácular salvando novamente remo placa : flamengo 20 x 0 remo,2026-03-19 19:01:37,,"uma, o, o"
Flamengo,Maxi Boeing,@Maxi_Boeing,"flamengo não recuou nada, tentando ir atrás dinheiro lfu usando cbf, pediu reunião pra “unificar” as ligas. kkk fingindo santo os outros clubes libra pra tentar abocanhar parte lfu . os malandros acham ninguém está vendo kkk",2026-03-19 19:01:37,,"tá, do, da, a, que, uma, tá, de, com, da, a, da, que"
Palmeiras,Stif,@stifthunder,culpa sua q começou akele discurso covarde contra palmeiras ano passado seu bosta,2026-03-19 19:01:37,,"a, e, o"
Corinthians,inês | tetra,@brecoliars,"merda desse jogo corinthians sendo 21h30 prime video ainda, ai mereço mesmo",2026-03-19 19:01:37,,"essa, do, e, na"
Santos,dudisz,@BortolinEduarda,odeio santos futebol clube me recuso assistir qualquer jogo desse time maldito enquanto jack for treinador,2026-03-19 19:01:37,,"eu, o, e, a, o"
Santos,Manoela Duarte,@ManoelaDuarte_,"mas partir momento time continua deixando acontecer, sim. você citou caso anos atrás, santos contratou momento atual. enquanto garrincha já nem está mais entre nós, santos segue jogador homenageou jogador condenado estupro coletivo",2026-03-19 19:01:37,,"a, do, que, o, isso, um, de, o, no, o, com, um, que, um, por, e"
Flamengo,jv ᶜʳᶠ,@jvzncrf_,vamoooooos porraaaaaa pra cima deles flamengooooooooooooo,2026-03-19 19:01:37,,
Palmeiras,Tio Carlos,@tiocarlos1951,incrível como palmeiras sempre vilão pra imprensa,2026-03-19 19:00:37,,"o, é, o"
Palmeiras,Palpitagem F.C.,@PalpitagemFC,fui 2 x 0 pro palmeiras errei todos os outros,2026-03-19 19:00:37,,"eu, de"
Flamengo,Remista Realista,@RemistaRealista,remo x flamengo campeonatos brasileiros: 5 jogos 3 vitórias remo 2 vitórias flamengo hoje leão busca ampliar vantagem enquanto equipe carioca tentará igualar confrontos,2026-03-19 19:00:37,SérieA2026,"em, do, do, o, a, a, se, nos"
Flamengo,NEGA R4N9EL,@negarangel13,quando são paulo discurso outro! ah fosse flamengo!,2026-03-19 19:00:37,,"é, com, o, o, é, se, o"
Corinthians,Crônica Alvinegra,@cronicaalvinegr,"dilui contrato salário (obviamente) reduzido. patrocinadora paga salário integral corinthians paga dívida num contrato 24 meses. cancela asneira metas, vai ganhar bicho igual todo mundo. não quiser só entrar fila dia gente paga",2026-03-19 19:00:37,,"no, com, um, o, e, o, a, de, essa, de, se, é, na, que, um, a, e"
Fluminense,Tiago Dias de Azevedo,@tiagoazevedo80,kkkkkkkk contra vasco fluminense só transa bumbum guloso,2026-03-19 19:00:37,,"o, o, com, o"
Flamengo,FLA DA NAÇÃO,@FlaDaNacaoDois,bom felca qnd vc vai inventar lei q proíbe ayrton lucas jogar pelo flamengo? povo quer saber,2026-03-19 19:00:37,,"ta, e, a, o, de, o, isso"
Vasco,Otaviano Louzada,@OtavianoL,"alegria vascaíno não deve comparada nenhuma outra torcida. jamais irão entender criança, escolhe vasco torcer, só ouvir história clube não pelos títulos conquistados.",2026-03-19 19:00:37,,"a, do, ser, com, que, uma, o, para, por, a, do, e"
Palmeiras,JcFlamengo,@flamengo_jc,mas quem rouba sempre num palmeiras? kkkkk,2026-03-19 19:00:37,,"é, o"
Santos,Eterno aprendiz,@Cecelo147,acho santos realmente superou todos os níveis aceitável afastou vez torcedor minimamente consciente,2026-03-19 19:00:37,,"que, o, do, e, de, o"
Internacional,Tay,@taylolxd,"mt legal assistir campeonato internacional, fico muita vontade jogar league of legends",2026-03-19 19:00:37,,"é, eu, com, de, um"
Grêmio,MIDS,@MIDS22,grêmio,2026-03-19 19:00:37,,
Cruzeiro,marininha carter,@marin4souza,cruzeiro esporte clube,2026-03-19 19:00:37,,
Santos,Sérgio Santos,@ZAMENZA,"""sonhei jendal estava meu encalço. qd não tinha mais forças fugir, príncipe guerreiro não consigo ver rosto me ""como queria acreditar nessa sua conexão sobrenatural"" duda santos érika januza boas d+.",2026-03-19 19:00:37,ANobrezadoAmor,"que, em, para, o, que, o, com, o, e"
Internacional,RT Brasil,@rtnoticias_br,"lula abraça lucía topolansky, viúva pepe mujica, cerimônia entrega título doutor honoris causa ao ex-presidente homenagem reconhece atuação mujica vida pública sua projeção internacional. leia:",2026-03-19 19:00:37,,"de, na, de, do, de, a, a, de, na, e"
Corinthians,Vitu,@Th3EvilStar,"hoje sorteio vou chutar grupo : boca, corinthians, santa fé sporting cristal.",2026-03-19 19:00:37,,"tem, o, da, o, e"
Palmeiras,André CBR,@ACBR84,onde tirando isso? só pq ano passado tiraram mão grande dois títulos coro rivais (pra não verem mais título sep) jornalista ou torcedor?,2026-03-19 19:00:37,,"da, ele, tá, na, do, com, dos, um, da"
Corinthians,Antony81,@Giopibe10,nacional corinthians junior platense,2026-03-19 19:00:37,,
Fluminense,Thales Siqueira,@Thales_s_cunha,"parece relato qualquer, mas não é. atitude certa, combinada música certa, faz jogador tirar energia onde não tem. aliás, música torcida fluminense utilizado pouco, sorte adversários, pois concordo mozer sobre ela.",2026-03-19 19:00:37,,"um, a, com, a, de, é, uma, que, a, do, tem, para, a, dos, com, o"
Flamengo,Diogo Lins,@Diogolins82,"sabe deputado você torcida flamengo sabe inconstitucional, você cria lei sabidamente inconstitucional quando stf provocado julga diz inconstitucional aí você vai vir discurso stf defende bandido. sabemos modus operante",2026-03-19 19:00:37,,"e, a, do, que, isso, é, uma, e, o, é, ele, e, que, é, com, o, de, o"
Grêmio,Cachorro Gremista 𓃥,@CachorroGremio,loucura não parece grêmio está campo esta camisa kkkkkkkkk sensação estranha,2026-03-19 19:00:37,,"que, ser, o, que, em, com, que"
Corinthians,Elyel ˢᶜᶜᵖ 2x,@elyelsccp,freguês corinthians,2026-03-19 19:00:37,,"esse, é, do"
Palmeiras,Futebol Acima de Tudo,@FutAcimadeTudo,esses caras palmeiras são muito cara pau,2026-03-19 19:00:37,,"do, de"
Santos,Marcos Cardoso,@MarcosC4502837,"concordo. risco. mas parece santos também não ninguém interessado vir. então casamento ""perfeito"".",2026-03-19 19:00:37,,"tem, esse, que, o, tem, em, é, o"
Palmeiras,Jorel777,@ronaldsousa777,"palmeiras precisa voltar urgentemente voltar joga série b, só assim chatice acabar vez",2026-03-19 18:59:37,,"a, a, para, essa, de"
Santos,analu d’padilha,@girrlpunk,"tenho ódio tipo gente, porque não sabem exercer sua fé cuidar seu espiritual, precisam pregar contra outras religiões troco nada, demonizar nossos santos entidades troco nada, tomara exu quebre os dedos dessa vagabunda mentirosa",2026-03-19 18:59:37,,"eu, um, por, esse, de, eles, e, do, eles, a, de, e, a, de, que"
Grêmio,HIGOR,@Fute_RS,"sorteio grupos copa sul americana 2026 começa às 20h transmissão espn, grêmio cabeça chave",2026-03-19 18:59:37,,"dos, da, e, tem, da, é, de"
Fluminense,Leonardo Moraes,@LeodeMoraesPR,preparados possível mudança data paraná x nacional seria domingo dia 05/04? nessa mesma data coritiba enfrente fluminense couto!,2026-03-19 18:59:37,,"para, uma, de, de, que, o, o, no"
Palmeiras,Jailton Franco,@jailtonfranco7,"engraçado torcida insultou abel ferreira leila( tiraram palmeiras merda) saindo defesa marlon. veremos até quando. pois aqui rj, nossa torcida não cerca jogador sua família pra ameaçar forma covarde.",2026-03-19 18:59:37,,"o, é, a, que, o, e, a, que, o, da, em, do, no, com, de"
Palmeiras,caioooo,@blzanii,"todo jogo mimimi vocês. bom diretoria palmeiras parou omissa, querem ficar jogando picuinha internet, vão receber também!",2026-03-19 18:59:37,,"tem, de, que, a, do, de, ser, na"
Santos,Rafael,@Rbreier01,quis dizer contra,2026-03-19 18:59:37,,"ele, o"
Flamengo,FlamenGOL,@FlamenGOL_81,saiuuuu escalação flamengo x remo - 20h qual seu palpite?? me: 4 0 malvadão,2026-03-19 18:59:37,,"a, para, a"
Flamengo,naogostomasétri,@naogostomasetri,"mínimo, acontecem 3 ou mais episódios violência, depredação racismo naquelas bandas. mas imprensa salmoneira rs passa panos quentes pra tudo. os bastidores aterro são nível flamengo pccorinthians quando trata extra campo.",2026-03-19 18:59:37,,"no, de, e, a, do, do, do, do, e, do, se, do"
Flamengo,Pedro | Apostas e Palpites,@APalpites,"corinthians não vence há 3 rodadas sequência não será fácil: flamengo, fluminense, internacional palmeiras. ou seja, precisa pontuar arena condá chapecoense invicta como mandante, mira afastar z4 fator casa como maior aliado brasileirão.",2026-03-19 18:59:37,,"e, a, e, na, se, do, e, tem, o, no"
Corinthians,Pedro | Apostas e Palpites,@APalpites,você precisa ficar olho mercado cartões chapecoense x corinthians.,2026-03-19 18:59:37,,"de, no, de, para"
São Paulo,"Frankito, o Curioso®",@WeiseFranklin,"interessante são paulo não ruas homenagem ao gv. propósito, fato fgv ficar 9 julho severas irônico.",2026-03-19 18:59:37,,"que, em, tem, em, a, o, de, a, na, de, é"
São Paulo,andrew,@pjlandrew,"lixo sempre menciona jogo pra vitimizar, sendo que: ganharam arbitragem prejudicando são paulo dentro morumbi vocês são cínicos pra crl, torcida filho puta",2026-03-19 18:59:37,,"esse, esse, se, com, a, o, do, de, da"
Corinthians,Pedro | Apostas e Palpites,@APalpites,não faça nenhuma aposta chapecoense x corinthians antes ler pesquisei. explico aqui embaixo porque mercado específico vale sua atenção.,2026-03-19 18:59:37,,"em, sem, o, que, eu, tem, um, que, a"
Internacional,O Véio do Agro,@veiodoagro,"azar seu também. vai viver ar? vai vestir roupa plantando seu próprio algodão? setor atrasado sendo referência internacional tema? ok, você só quer contra. sobre pib deixo site ibge pra vc ler refletir.",2026-03-19 18:59:37,,"é, de, no, ser, do, o, o, do, e"
Vasco,o fravinho do BF,@fravenriq,"marlon freitas parmera, savarino fru, cuiabano vasco agora athur jorge botafoguense tão desgraçado q ctz q teve aquele 2024 glória só pra poder passar raiva 2026",2026-03-19 18:59:37,,"no, no, no, e, no, o, é, de, essa, em"
Flamengo,cerriseven,@imsyren_,literalmente qualquer coisa só muda flamengo aceitar. brasil nenhum outro clube tamanho poder,2026-03-19 18:59:37,,"se, o, no, tem"
Palmeiras,Renan,@palestraiT14,"palmeiras respondeu sp, quem nao tira quem boca? nao fode, bambi merda! vai sentar colo outro morumbi final semana?",2026-03-19 18:59:37,,"o, o, da, de, um, no, do, no, de"
Flamengo,Ju Buonarroti Picasso Santi Alighieri da Vinci,@PicassoJu,"contra flamengo tudo possível!!!!!!! permitido time ganhar série b dizer dono série enquanto outros times ganham dois títulos mesmo ano, não pode acontecer contra nós?",2026-03-19 18:59:37,,"o, é, se, é, a, e, que, é, da, a, no, o, que"
Corinthians,ℒuís ℛenato,@femonemal,fazendo caminhada vai corinthians,2026-03-19 18:59:37,,uma
Palmeiras,Statham Cabeludo,@JasonCabeludo,postura covarde hipócrita anderson barros… síntese palmeiras,2026-03-19 18:59:37,,"que, e, do, do, que, é, ser"
Flamengo,Marquinhos Assunçãoᶜʳᶠ,@MarquinhosAssu2,flamengo escalado leo pereira pulgar pendurados confirmados luiz araujo titular.,2026-03-19 18:59:37,,"com, e, e, com, de"
Grêmio,MateusVR,@mateusveerre,"camisa grêmio ficou muito descaracterizada, vai demorar pra acostumar.",2026-03-19 18:59:37,,do
Cruzeiro,Deego,@Diguegoeu,gostava cruzeiro muito louco (sei nem era nome),2026-03-19 18:59:37,,"eu, de, um, se, esse, o"
Flamengo,Lucas Sernajoto,@LucasSernajoto,flamengo bom demais!!!,2026-03-19 18:59:37,,"ser, é"
São Paulo,Carla Sampaio,@Carlasampaio78,aposto nordeste pq são paulo negócio triste,2026-03-19 18:59:37,,"que, é, no, o, é"
Flamengo,Allan Costaᶜʳᶠ,@Falatu_Allan,"pra cima deles, flamengo!",2026-03-19 18:59:37,,
Grêmio,mimin ’ ¹⁹⁰³,@mimindogremio,uniforme grêmio espetáculo,2026-03-19 18:59:37,,"esse, do, tá, um"
Grêmio,Duh,@duhbvb,bah camisa grêmio até bonita mas fica meio estranho transmissão vendo longe,2026-03-19 18:58:37,,"essa, do, que, é, na, de"
Grêmio,Luiz Filipe Macedo,@lzfmacedo,grande questão é: as camisas ano passado já estão baratinhas grêmio mania?,2026-03-19 18:58:37,,"a, do, na"
São Paulo,JaqueTAEL-,@Taelforever2,"chato fazem…sempre assim, choram semana toda! mais bizarro são favorecidos estão questionando direito são paulo reclamar! loucura isso!",2026-03-19 18:58:37,,"o, que, eles, a, o, é, que, eles, e, o, do, de, que"
Flamengo,F.R Tetra,@asteristicorj,pra ter conversa inaceitável algum clube brasil ganhar mesma coisa flamengo.,2026-03-19 18:58:37,,"é, do, a, que, o"
Flamengo,Riuler,@1921riuler,"venderam libra como liga exemplo, todo dia tinha nota jornalista determinada emissora libra ruiu abandono clubes, filho ministro comecou ameaçar clubes, agora flamengo tomou frente incrivelmente, cbf quer organizar liga apoio",2026-03-19 18:58:37,,"a, a, de, de, a, com, o, dos, de, a, e, o, e, a, uma, com"
Flamengo,Filipinho,@OliverFelipee,"banho tomado, cerveja gelando, agora só esperar hora pra passar raiva flamengo",2026-03-19 18:58:37,,"a, com, o"
Corinthians,Victor Ribeiro,@vyctor68,corinthians nacional rosário central tolima,2026-03-19 18:58:37,,
Internacional,MarceLLLo ♱ ؘ,@mac_nascimento,"total, jogo ruim sim, mas tão pedindo cabeça time 1 mês envy junto, fúria primeiro internacional tb mal , mantiveram projeto depois mostraram evolução",2026-03-19 18:58:37,,"o, foi, a, de, um, que, tem, com, a, no, foi, o, e, eles"
Flamengo,Mengo Cria,@mengocria_,"west ham united segue monitorando léo pereira avalia investida meio ano. flamengo, porém, mantém posição firme: só negocia titular mediante pagamento multa, casa 60 milhões euros. valor considerado alto pelo clube inglês, que, enquanto,",2026-03-19 18:58:37,,"o, e, uma, no, do, o, o, da, na, dos, de, o, é, por"
Palmeiras,aaaquaarioˢᵉᵖ,@aaaquaario,quando pegou palmeiras tremeu mais batedeira velha todos temem colossal,2026-03-19 18:58:37,,"o, que, o"
Grêmio,MayconGamesSoccer,@maycom1981,bola rolando! grêmio x vitória,2026-03-19 18:58:37,"GRExVIT, Brasileirão2026",
Fluminense,Lz News Flu | Igor Lanzinni,@igorlznews,"sobre jogo: até os 20 minutos etapa final, fluminense dava aula vasco, mas futebol imprevisível. encontraram gol num lance bobo renê, torcida inflamou vasco buscou virada. futebol cruel; ontem sentimos pele dureza desse esporte.",2026-03-19 18:58:37,,"o, da, o, uma, no, o, é, eles, um, do, a, e, o, a, o, é, na, a"
Flamengo,Igor D.,@Igordias201,"me explica comp vai vender bem, time flamengo feito pra campeão agora?",2026-03-19 18:58:37,,"se, o, do, foi, ser"
Botafogo,WiliamFla10,@WiliamFla10,"anderson, quem começou falar sobre seu técnico. aliás, falou antes mesmo jogo contra botafogo. rui apenas respondeu algo vocês instauraram mas aí abel 2 semanas falando desse jogo .. sabendo teria clássico próximas",2026-03-19 18:58:37,,"a, isso, foi, do, o, que, isso, e, ta, a, que, o, nas"
Grêmio,cassi,@whoisthecassi,vamo grêmio!,2026-03-19 18:58:37,,
Fluminense,Nicolas Souza,@nicolassouza2,adm fluminense fica igual adolescente esses cara batem palma kkkkkk dá nem pra levar sério,2026-03-19 18:58:37,,"do, e, a"
São Paulo,gabriela,@rochpgabi,to indo pra lugar tudo tão parado estivesse indo pé iria mais rápido and this is são paulo,2026-03-19 18:58:37,,"um, e, tá, que, se, eu, a"
Flamengo,Davidᶜʳᶠ ᕦᕤ,@JustDavid3103,flamengo lanus quicombo unido barcelona você viu pela primeira vez aqui,2026-03-19 18:58:37,,
Palmeiras,jean andrade,@jeanand59571831,vamos lá 2021 palmeiras campeão libertadores (eliminando sp) 2022 palmeiras campeão brasileiro (bateu são paulo morumbi) 2023 novo campeão brasileiro (massacre returno 5x0) 2024 palmeiras tricampeonato paulista 2025 ganhamos todas sp 2026 denovo… vai falando.,2026-03-19 18:58:37,,"da, o, o, no, de, no, do"
Grêmio,Andre_SilvaRS,@Andre_SilvaRS,nadadores grêmio náutico união dominam segunda etapa brasileiro águas abertas …,2026-03-19 18:58:37,,"do, do, de"
Vasco,Danilo Felix,@dansfelix,"concordo mas minha única ressalva seguinte: sim, torcida grande clássico tb ganha jogo. vasco não teria virado ter 70% estádio favor.",2026-03-19 18:58:37,,"é, a, em, sem, do, a"
Palmeiras,Rafael Emiliano AVANTE MEU TRICOLOR,@rafaelemilianoo,"escalação clássico: lateral ainda dúvida clássico roger começa decidir sobre substituto lucas são paulo realizou nesta quinta-feira (19) primeiro dois treinos foco clássico contra palmeiras, será disputado morumbi partir 21h (de",2026-03-19 18:58:37,,"para, o, é, para, e, a, de, o, o, de, com, no, o, que, no, a, das"
Botafogo,Billy,@BillyAlves4,"vc só piora kkkk antes parmalat existir palmeiras batia frente c santos pelé c botafogo, tava sendo campeão nacional,enquanto seu time fugia campo vivia carioca .",2026-03-19 18:57:37,,"de, o, de, de, e, o, e, isso, de, e, de"
Palmeiras,Mary,@_MaryXD,me chamarão pé frio me mandarão torcer palmeiras,2026-03-19 18:57:37,,"de, e, para, o"
Fluminense,𝐆𝐢𝐥𝐞𝐚𝐝𝐞 𝐌𝐚𝐢𝐚 (gile),@principe_1991,kkkk fluminense botafogo muito aleatório alí meio,2026-03-19 18:57:37,,"e, no"
