Time,Nome,Usuario,Tempo,Texto,Coletado_em
Flamengo,Ofertas em Geral,@ofertasgeral_,14 s," Baixou mais um pouco também!

Mochila CR Flamengo adidas
[adidas oficial • mercado livre]

Por R$289,59 ̶(̶R̶$̶4̶9̶9̶)̶
parcelado em 6x sem juros

Compre aqui: 
meli.la/2WwNp8h
Cupom: MODANOMELI
 
 A promoção pode acabar a qualquer momento!",2026-06-18 18:55:59
Palmeiras,B͓̽A͓̽D͓̽ B͓̽O͓̽Y͓̽,@mau_mau_fuck,19 s,"Pica no lula, pica no Palmeiras, pica no Trump e vai picando kkkk",2026-06-18 18:55:59
Flamengo,@CRF News,@CRFNews1895,58 s," DE VOLTA AOS TREINOS!

Confira o calendário da semana para o futebol profissional do Flamengo!",2026-06-18 18:56:03
Internacional,A BOLA,@abolapt,58 s,"Mundial 2026: filão Manzambi estava escondido no banco suíço (crónica)

Leia aqui: 
brnw.ch/21x3t0L

#futebol #internacional #mundial #suica #bosniaeherzegovina #tarikmuharemovic #rubenvargas #johanmanzambi #granitxhaka #erminmahmic",2026-06-18 18:56:03
Grêmio,Leila Krüger,@leilakrugerx,1 min,"Nardoni tem a alcunha de “melhor 5 da Argentina”. Teve de ser improvisado como 8, e ele e o Racing caíram. 
Villasanti sempre foi 5, na Seleção do Paraguai e no Grêmio. É onde melhor joga.",2026-06-18 18:56:03
Santos,Sayori Do Camp Nou,@SayoriSFC1912,1 min,"Ele passou a temporada inteira se quebrando a cada 2 jogos 
Desfalcou o Santos no Paulistão Inteiro, ficou fora de vários jogos importantes do Santos 
Mas não, agora ia ser diferente né? Pqp",2026-06-18 18:56:03
Corinthians,Marcos - #SAFiel,@marcos_friasjr,1 min,"Porra 
@albaaoficial
, Corinthians Futebol Clube vc tá de sacanagem…

Sport Club Corinthians Paulista (SCCP)

Aprende aí ",2026-06-18 18:56:03
Palmeiras,well ⓈⒺⓅ,@wenbler,1 min,saudades sociedade esportiva palmeiras ,2026-06-18 18:56:03
Vasco,Júnior,@junioramaovasco,1 min,"FORA TODO MUNDO!!

FORA DO VASCO , ELENCO DE VAGABUNDO!!!",2026-06-18 18:56:03
Vasco,Dezito ✠,@dezitotoiss,1 min,"Por mim, quanto mais tempo demorar pro Vasco voltar a entrar em campo melhor.

Paz terrível nessa pausa do Brasileirão. Saudade zero. 

Viva a Copa do Mundo e a falta de estresse com aqueles perebas horríveis",2026-06-18 18:56:03
Corinthians,Galu,@GaluS117,1 min,"Ta bom, agr copiar mais gritos de times além desse do corinthians",2026-06-18 18:56:03
Corinthians,Ryan Leonardo,@leonardo_r29599,1 min,"Você vive em que mundo? O Corinthians está com mais de 3 bilhões em dívidas e não tem um presidente que não roubou desde 1994. Mas claro, os gaviões são um ótimo órgão fiscalizador né....",2026-06-18 18:56:03
Fluminense,I am Clancy |-/,@dudanz,1 min,Não era jogo do Fluminense,2026-06-18 18:56:03
Cruzeiro,hater do paulistaof,@trevineju,1 min,"pra mim, as crianças mascotinhas parecem estar vestidas com o uniforme do cruzeiro",2026-06-18 18:56:03
Vasco,Bruno B Kalila,@BkerKali,1 min,"Cantei essa pedra logo depois do último jogo do Vasco.
Renato não suportaria passar 40 dias na ZONA DE REBAIXAMENTO.
Vai fazer o que puder pra ser demitido.",2026-06-18 18:56:03
Santos,caetano santista,@caetanosantista,1 min," | Santos tenta atravessar a compra de Ian Luccas, que pertence ao Cruzeiro, emprestado ao Athletic, por valores entre 1 e 3M de euros.  

O impasse fica na forma de pagamento, já que ambos só aceitam receber o valor do Peixe à vista.  

 
@lucas_musetti
 | 
@deolhonopeixe",2026-06-18 18:56:03
Flamengo,𝗮𝗱𝗲𝗹𝗶𝗼³ • ¸,@AdelioCRF,1 min,Como foram os jogadores do Flamengo na primeira rodada da Copa do Mundo | Ge,2026-06-18 18:56:03
Vasco,Dro,@ghu1ch,2 min,Até quando o Vasco vai ser refem desse bando de perninha?,2026-06-18 18:56:07
Vasco,Luz,@LumiAnalyst,2 min,Mas o time é RUIM!!! Querem que ele fale o quê? kkkkk Só tem bagre nesse time do Vasco rs,2026-06-18 18:56:07
Flamengo,Painho está a fazer pardos com Jorge Ben Jor,@thelifeofpainho,2 min,fico pra morrer quando uns tonhos torcedores querem emplacar essa daí como amuleto do flamengo ou em placar que ela deu visibilidade pro FLAMENGO? amor ela não é o nosso amuleto supremo totói e Guto!!!,2026-06-18 18:56:07
Santos,Lucas Novaes,@Lucasnovaesxd,2 min,"Jogar uma copo do mundo com 2 quase aposentados , Danilo Santos e Paqueta , é surreal , Danilo e Paqueta não são titulares nem no Equador",2026-06-18 18:56:07
