Time,Nome,Usuario,Tempo,Texto
Cruzeiro,Carlos Henrique,@CarlosH22813907,12 min,O mal do mp é só ter jogado em times inesperáveis como West b al hilal Cruzeiro e times desse nível mkkkk paqueta já jogou no milan Lyon e foi destaque da premier league e seleção 
Flamengo,Luiza Sá,@luizasabg,12 min,Flamengo no aquecimento
Corinthians,Kayky Sccp,@Kayky43577016,12 min,"Corinthians se ganhar amanhã praticamente ta classificado, espero que eles joguem com vontade amanhã."
Grêmio,.,@kg10vfx,12 min,"Não entendi as reclamações 

Grêmio não precisa de time 100% pra ganhar do Palestino"
Flamengo,Murilo Ricardo,@MuriloRci,12 min,"Puta que pariu o Royal ainda está no Flamengo??
Porra"
Fluminense,Portal de Prefeitura,@portal_prefeitu,12 min,Hulk acerta com Fluminense após rescisão no Atlético-MG; veja detalhes do contrato do paraibano
Flamengo,ANDRÉ ALFIERI,@Andre_Alfieri,12 min,"Sim, eu to ligado, mas aí claramente não é referência de nada, além do que os dois assuntos não se conectam em nada

Referencia aí seria, sei la, pegar 4 jogadores do Flamengo e colocar pra atravessar a faixa de pedestre, igual o Beatles, com algum contexto que justifique"
São Paulo,Vou ver o bts,@armylind2013,12 min,"Vendo ingressos pro show do BTS em São Paulo - BTS WORLD TOUR ARIRANG!!

 Ingresso ARQUIBANCADA | Dia 28/10 e 31/10 SP

Só vou conseguir no dia 30

Vendo, Compro, Ingresso, 
@bts_bighit
, Sp"
Vasco,Detroitzete,@SilverzZxxz,12 min,"Crl parece o vasco mane, proibido ser competente se n vai pro banco, q desgraça é minha vida esportiva"
Flamengo,André Ribeiro,@AndreRibeirro,12 min,"Tenho medo dessa escalação? Tenho

Vou confiar no Leonardo Jardim? Vou

Posso criticar antes? Sim

Posso queimar minha língua? Sim 

VAMOS FLAMENGO! EU QUERO UMA FASE DE GRUPOS IMPECÁVEL"
Flamengo,Leonardo Costa,@lcamorim27,12 min,Quem for de camisa do Flamengo paga meia na primeira semana
Santos,Pedro,@Pedro4734,12 min,Eu só espero que o Abel não inventa de colocar misto contra o santos
São Paulo,from - Dani,@naoepossiveel,12 min,Prometa né? Hahahahaha São Paulo é com TheWeekend mona
Grêmio,Eduardo,@EduardoRDela,12 min,Vcs não viram como é Treinar o Grêmio com o Renato Gaúcho desempregado
Vasco,Gabriel Ramos,@gabrielramosvg,12 min,"Como informado aqui em janeiro, o Vasco Futsal acertou e agora anunciou a contratação do fixo Rafa Felix.

O atleta é o novo reforço da equipe cruzmaltina para o restante da temporada 2026.

Em seu último clube, Riga FC - da Letônia, Rafa Felix teve 25 jogos e 12 gols."
Santos,Sylvio Santos,@SylvioSantos6,12 min,"Registo Fotográfico   
Por, Osvaldo Santos      

O que é que mais chama a tua atenção neste trabalho?  
. 
.  
.   
#art, #photography #portugal #santarem #almeirim"
Corinthians,Y_Uramesh1,@Y_Uramesh1,12 min,"9 coisas que eu NÃO DEIXO fazer se namorar cmg
- tornar-se católica 
- comprar um Francês com motor 1.4
- Comprar um Wolks com motor EA111 
- Torcer pro Corinthians 
- Votar no Lula
- Botar os Pés no painel do carro 
- Jogar com o Sub-Zero
- Andar de moto
- sair com roupa curta"
Flamengo,Helder,@FlamengoXbox,12 min,"Vou dar uma pausa para assistir Flamengo, depois volto no From."
Flamengo,pe.Dro,@chapeicrf,12 min,"time titular do palmeiras se bem treinador ficaria uma potencia assustadora mas pqp esse banco é assustador de fraco viado elenco muito curto.

pra ter noção da diferença flamengo poupando 5 jogadores palmeiras se poupar 5 o time tem uma queda assustadora de nível"
Santos,Anonimous,@2lfoewmwidema,12 min,"Kkkkk
Decisão do Santos e do staff?
O cara quem decide quando e onde ele quer jogar. Acorda."
Palmeiras,Gabriel,@gsoaresart,12 min,"Então tá tudo empatado, pq vcs já cansaram de ser vice do Palmeiras kkkkkkk"
Palmeiras,José Vieira,@Mapuche77,12 min,"Kkkkkkkkk tu não escalas, e nem detalha, o Palmeiras de 94 e queres tirar essa chinfra? Kkkkkkkkk Piada! Kkkkkkkkk kkkkkkkkk"
Vasco,NäkuZ,@PajaroZ6,12 min,VASCO
São Paulo,Nicolau Terra,@terra_nicolau,13 min,eu moro em são Paulo e sou feliz eu entendi
Vasco,Diego ✠,@Diegofreitas299,13 min,"Por isso tia Leila vem para o Vascão, único time no Brasil que colocou logo do SBT para enfrentar esse sistema de patrocínio e favoritismo foi o Vasco. Historicamente o Vasco sempre foi prejudicado por eles, fizemos SJ com dinheiro da torcida por causa deles! Vem Tia Leila "
Botafogo,Liv vai ver o Zayn ★彡⁩,@livsdotae,13 min,Esse cara não se garante né? Ele quer montar um botafogo 2.0 kkkkkkkk
Vasco,otis primaverino,@Otisprimaverino,13 min,"tipo nao acho o novo feiooooo, mas tbm nao é bonito, acho escudos mais clássicos como o do Vasco mais bonitos, mas melhor do que a cópia do do sp ficou"
Internacional,Nathalia M.,@amigadanathalia,13 min,O BRASIL VOLTOU A SER NOTÍCIA INTERNACIONAL KKKKKKKKK
Cruzeiro,LIBERTA DEPRE,@liberta___depre,13 min,"Segundo a Espn Argentina, o Boca Juniors planeja apresentar uma queixa formal à Conmebol a respeito da conduta desagradável e ""antidesportiva"" de Christian, jogador do Cruzeiro, em relação a Adam Bareiro.
@SC_ESPN"
Corinthians,Miguel,@mirandes63,13 min,Go Corinthians!
Flamengo,Onlyice,@AAice420,13 min,"Contra o flamengo fez kkkkkkkkkkk e ganhou o jogo sozinho! Contra o palmeiras não, e mesmo assim teve a melhor nota! Justamente pq criou e deixou varias vezes na cara mas os bagres do santos n ajudam."
Internacional,Wilton Caldas,@CaldasWilton,13 min,"Faz falta mesmo. Queria perguntar por que VOCÊ foi nos EUA dar entrevista CONTRA a ajudar internacional a ANISTIA?? 
Nao era seu palanque politico desde 2023? 
Ou só a politica interessa e não as pessoas?"
Vasco,Mel bebe perfume,@masterofpupiez,13 min,EU SOU VASCO DA GAMAAAAA SIM SENHOOORR
Botafogo,Frizoni1,@Frizoni157,13 min,Burrinho o lyon aceitou o foro do RJ para litígios envolvendo o Botafogo. A decisão brasileira tem validade lá e será homologada pela justiça francesa. Se informe bem antes de passar vergonha kk
Flamengo,Gabriel,@Gabrieldutra566,13 min,"O fato de eu falar fluentemente dois idiomas pode indicar que eu não seja tão burro assim, né amigo?
Se você acha mesmo que um clube sul-americano, que não seja Flamengo e Palmeiras, pode tirar jogador do Cruzeiro, o burro aqui é você."
São Paulo,G VAI VER ARIRANG BTS,@stz_655,13 min,"Vendo 3 ingressos pro show do BTS em São Paulo - BTS WORLD TOUR ARIRANG!!!

 Ingresso Pista | Dia 31/10 SP

Vendo, Compro, Ingresso, 
@bts_bighit"
Flamengo,...,@OxilDoRio,13 min,"Flamengo ganha de todos os times do Rio em ter mais torcida em quase todos os bairros do Rio, só perde para o Fluminense no leblon"
Fluminense,anti-hero,@batgrlw,13 min,"ele vai se matar com 3 meses no fluminense, vai conhecer o que é ser roubado de verdade"
São Paulo,TINHA que ser o lima,@reid0sdemonios,13 min,"Fala ai swin, são nessas viagens que vemos que São Paulo é uma bosta"
Palmeiras,Hermano P Passos,@HermanoP84,13 min,Ela nunca esteve no Palmeiras...nem Palmerense ela é...na verdade ela so usou o clube mesmo...
Grêmio,Maikão,@maikao1903FBPA,13 min,Vamo meu Grêmio 
Corinthians,vinicius,@ihateanarchyboy,13 min,E tem que ainda acredita que o formato atual administrativo do Corinthians tem como dar certo.
Fluminense,beatriz,@labiaenrose,13 min,"fluminense agora com:

hulk
otávio
savarino
guga
arana
rabello 

quer dizer alguma coisa fluminense"
Flamengo,Conde Lambreta,@CondeLambreta,13 min,A Eurico de saia tal qual o seu mentor vive de denegrir o Flamengo não tendo capacidade de supera-lo.
Flamengo,Pedro 4ires,@silva_pedr77446,13 min,"Normalmente seria uma boa, mas é o Vasco na próxima rodada, tem que tá 100% pq esses desgraçados vão virar a seleção de 2002 pq tão jogando contra o flamengo"
Cruzeiro,Alan Pinho,@alanpinhom,13 min,"Ate pq do isso vc ta vendo, Cruzeiro jogando e Atletico apanhando! Ahhahahahahahha"
Cruzeiro,blues rock club,@bluesrockcec,13 min,"o eixo não quer admitir mas a verdade é que à essa altura já deveriam estar convocados pra Copa do Mundo:

Fábio
Matheus Pereira
Kaiki Bruno
Fabrício Bruno
Kaio Jorge
Igor Thiago

mas eles preferem não ser campeões do que ser com o Cruzeiro como protagonista"
São Paulo,Gustavo Leandro,@Gustavo92963660,13 min,"Então como o São Paulo está na sula 
Aumenta as chances."
Santos,John,@johnbrigid0,13 min,"Para de ser idiotizado mano, o discurso do Renan é IMPOSSÍVEL de ser posto em pratica. Assiste meia hora de um Roda Viva com Eneas que tu entende o quão IMBECIL é um Renan Santos.

O cara não consegue coordenar meia duzia de gato pingado na merda de um partido. 

ACORDA PORRA"
Flamengo,gaby's minho piloto | minsung au,@jeonginights,13 min,RESPEITADÍSSIMO AMOR AQUI EH FLAMENGO PORRA
Flamengo,Chico Maia,@chicomaiablog,13 min,"Esse vídeo deveria ser mostrado ao leão de chácara contratado por esse pessoal do Atlético, que ""chamou na mão"", o atleticano na Arena, no vexame contra o Flamengo."
Corinthians,Henrique Moreira,@Rique0091,13 min,Que vazia do crl. Temos que tomar o Corinthians não mão grande infelizmente. Pois só ter fdp vagabundo lá dentro.
Cruzeiro,Catrumano do Mato Dentro,@cabano1871,14 min,Tomar no seu cú ô filhote do Cruzeiro. Se fuder flamerda. Vai dar o toba para boca te fuder filha da puta dukaralho
Vasco,Marcos Cardoso,@MarcosC4502837,14 min,"O gol contra o Vasco, o craque Carlos Martinho aprovou?"
Palmeiras,phael,@phaelpereiraFla,14 min,"Camisa 1 Palmeiras!

V. Jogador: 
s.shopee.com.br/40cz06wNOD"
Palmeiras,VaL_MV_SEP,@VaL_MV_USA,14 min,"Aqui está QUEM pediu a homologação dos Títulos. 
Veja aí se vc encontra o Palmeiras. 
Porém na segunda imagem, mostra onde esse teu Clube FABRICADO ficou colocado.
Ou seja, antes de 1979, qdo vcs roubaram o Galo para ter o primeiro BR, vcs eram NADA no futebol brasileiro."
Santos,raff,@raffbfr,14 min,"Talvez esse seria o jogo pra ele bater no peito e falar ""Pode deixar que esse jogo eu vou correr o risco, Cuca""

Esse jogo é o último do calendário do Santos que se aproxima um pouco do nível de intensidade que ele iria enfrentar na Copa"
Botafogo,Dudu,@Dudu061264,14 min,Botafogo
Vasco,Claudio Manoel Moura Ramalho,@manoel_m3,14 min,"Considere que nenhum dos dois, infelizmente, pode não ter o menor  interesse em jogar pelo  Vasco"
Palmeiras,Thyago,@ThyagoBatista16,14 min,Como cedeu para o Palmeiras se o Palmeiras também iria receber menos?
Flamengo,Bodão Maneirão,@bodaomaneirao,14 min,flamengo
Vasco,João Pedro Reis,@jpdosreis7__,14 min,"Botafogo está entre o cara melancólico do Botafogo e os alternativos da ZS

Flu é a cultura nobre, Belmonte, Laranjeiras e etc 

Fla é a massa, Brasil

Vasco é o suburbano, o proletário"
Flamengo,JayMemory,@JooPedr38005225,14 min,"Foda-se, cara. Flamengo é campeão de 87. É fisicamente impossível time da série B ser campeão da série A. Fim de papo"
Flamengo,Pedro Augusto,@PedroAbs3096,14 min,Eu sei disso. Atletico e Flamengo dentro da Arena MRV era tão importante quanto.
Fluminense,@Gui1Brasil,·,,Concordo. Acho que Hulk vai render em alto nível no fluminense.
Flamengo,heloisa,@noffstark,14 min,pra mim é simples: lá em brasília? fudeu. presidencialismo de coalizão? acabou. pro povo? tem jogo do flamengo na liberta hoje
Flamengo,Daniel,@danielo87244880,14 min,Flamengo foi com time misto nos 3 jogos dessa libertadores
Flamengo,Mad Rubro Negro,@P0P3Y3RN,14 min,".... Vamos Flamengo !

E aí Malvadões gostaram dos 11 iniciais ?

#Flamengo #Mengão #Malvadão #Libertadores"
Santos,?!&@;@,@T5IU7MB6O043358,14 min,"Ué, não entendi porque estão tratando o Zema como terceira via enquanto o cara pontua pouco mais da metade das intenções de votos do Renan Santos..."
Flamengo,Méfius,@sotretapolitica,14 min,"flamengo tem sorte que a Leila sonha com a CBF se não já tinha recebido um não de cara.
O Palmeiras não tem nenhum motivo pra aceitar nenhum acordo. A única coisa que torna isso possível é a Leila comprar favores de 9 clubes que estão fundidos mas ainda tem votos na CBF"
Flamengo,Infoboleiro,@infoboleiros,14 min," Os únicos 3 jogadores da história que marcaram mais de 100 gols por 3 clubes diferentes:

 Romário (PSV, Flamengo e Vasco)
 Neymar (Santos, Barcelona e PSG)
 Cristiano Ronaldo (Man United, Real Madrid, Juventus e Al-Nassr)"
Palmeiras,por que waldemar?,@alanmazaga0,14 min,"Que o palmeiras jogue sozinho ou com o sub-20 a copa sem mundial, vai dar muita audiencia"
Fluminense,InterCP,@InternacionalCP,14 min,"Inter intensifica preparação e busca equilíbrio para enfrentar o Fluminense no Beira-Rio

Pezzolano ajusta equipe para aumentar poder ofensivo sem perder consistência defensiva"
Vasco,Bruno,@Bruno_mdmm,14 min,Governo virou o Vasco: acabou e vai cair!
Botafogo,Vascaíno /+/,@vascaino1948,14 min,"O barbosa deu entrevista ontem dizendo que estava tudo acertado entre palmeiras e botafogo, mas ele não estava ciente de nada"
Cruzeiro,Shamanta,@Shamantaf10,14 min,"Torcida do  Cruzeiro parece que é alérgica a elevar o elenco de patamar, ficam numa frescura ai se o gregore vir vai tirar vaga do romero, ai se um ponta top vier vai tirar vaga do arroyo, plmds gente olha a maratona de jogos que temos, acordem para a vida..."
Fluminense,fp 26/45,@inter1x2flu,14 min,"O Mirassol num grupo com Lanus, LDU e Always Ready tem mais pontos que o Fluminense num grupo com Rivadavia, La Guaira e Bolivar.

E tem quem defenda o Zubeldía."
Internacional,Raynara Candisse,@candissehinara,15 min,"youtu.be/HErVfEVAjz8?si
…

Uma das apresentações mais desafiadoras da minha vida. Quebrei meus paradigmas. Saudade das trocas e risadas. Foi um momento lúdico inesquecível e libertador.
Feliz dia internacional da dança 
Dançar é abrir as asas de ser humano Voar pelo corpo. Soltar"
Santos,paginarural.com.br,@paginarural,15 min,"BELEZA FUNCIONAL - VENCEDORES - 91ª EXPOZEBU - UBERABA 
MG: Campeonatos Matriz Modelo e Modelo Frigorífico destacam funcionalidade e eficiência genética na 91ª ExpoZebu, diz ABCZ em 
paginarural.com.br/noticia/337777/ 
Foto: André Santos"
Palmeiras,تغرد تغرد,@sepraxis,15 min,"e aracácea é a família botânica das palmeiras, uai kkkk coqueiro é um tipo específico de palmeira, para de ser burro e chorão. o psj tem PALMEIRAS na fachada, vc queira ou não"
São Paulo,Cleiton,@cleiton_d7,15 min,"Democracia de POVO ao POVO 2026?
Liberdade Parlamentar? Eleições livres?
#SbtBrasil #sbtnews #jn #g1 Inss? 
#bandnews #jornaldarecord Aborto?
#jornaldacultura São Paulo? Censura política?"
Flamengo,Juan Vitorᶜʳᶠ o URUBU de 𝗢𝘇 𓅐²¹,@j_vtr_oz,15 min,"Para de ser burro.

Antes e depois desse recorte aí, o Palmeiras descansou e descansará mais q o flamengo"
Corinthians,Alexandre100fax,@Alexandre1910x,15 min,"Intervenção 
Poderes divino
Meteoro 
Missil desviado

Eu só vejo 4 soluções para o Corinthians. Sem isso, vai enriquecer vermes e fechar as portas

O cancer só se espalha, uma hora será fatal. N falta muito para tal"
São Paulo,Victor,@trembala123468,15 min,"Vendo ingresso pro Bts em São Paulo dia 30 , 31 

Cadeira inferior - meia entrada

Transfiro pela quentro na hora
wa.me/5522992491176

Tegs: compro, alguém vendendo, show, quero comprar, procuro, busco, WORLD TOUR ARIRANG, Brasil, ingressos, evento"
Vasco,marcia,@Marcia45693130,15 min,"E os flamenguistas que quase mataram uma senhorinha com a camisa do Vasco que estava vendendo bala pra sustentar os animais resgatados dela??? Mas lá é paz sim, confia..."
Palmeiras,Mario Miguel Lombardi,@MarioMiguelLom1,15 min,"@jogoaberto
 
E o hipocrita
Não marcam pênalti a favor do pelotas nem com reza
E olha
Acabou de enfrentar o time que só ganha roubando, o árbitro não marcou o pênalti claro

E pior, os caras ganharam título com gol de mão e e o Palmeiras que tem a arbitragem.."
Palmeiras,makauli kalvin,@_kelcxrreia,15 min,noche de copa na casa da minha mãe nunca vi o palmeiras perder
Internacional,INFO JIMIN ✶,@info_jimin,15 min,"ELE É REFERÊNCIA! A revista brasileira Quem mencionou o #JIMIN no Instagram, em um post comemorativo ao Dia Internacional da Dança. 

""Quem vê close, não vê corre (e muito ensaio)  No Dia Internacional da Dança, decidimos listar as estrelas que não apenas arrasam nas telas e"
São Paulo,uai,@uaihicks,15 min,Obrigado São Paulo por ter feijoada na quarta!!!!
Corinthians,Danilo J Santos,@DaniloJSantos5,15 min,"enquanto o Corinthians tiver esse modelo sociativo, não vai sair do lugar, vai ficar parado no tempo."
Flamengo,Anderson Rodrigues ¹²,@AndersonArf,15 min,"Pq a chamada da globo sobre o jogo de hoje do cerro x palmeiras as 9:15 termina com uma imagem do pedro do flamengo? que porra é aquela? o que tem a ver com o flamengo??? 
@globoesporteSP
 @Palmeiras
 @palmeirasHQ
 @midiasep
 @PalmeirasVt
 @girafalesverde"
Flamengo,FLAmineiros,@ienegretti1974,15 min,"VC ESTÁ ENGANADO,  PEQUENO GAFANHOTO. O MAIOR JOGA HJ TB E TEM 4.

CLUBE DE REGATAS FLAMENGO."
Internacional,Walter Correa,@correa899,15 min,"Dia Internacional da Dança celebra o movimento como caminho para saúde, felicidade e longevidade - 
tinyurl.com/4k6np6n3 - #DiaInternacionaldaDança - #Movimento - #Longevidade - #Envelhecimento - #Felicidade - #Música - #Saúde"
São Paulo,O Universo da TV,@ouniversodatv,15 min,Globo celebra lançamento do GloboPop com evento em São Paulo
Flamengo,Coruja,@Coruja2298,15 min,"Além de comentarista esportivo, o cara é professor tbm. Sabe fazer mais o que apertar pau com o cu ? Até pq vc é Tricolor né kkkk. Tá usando o Flamengo pra tentar zoar, pq se depender do seu tá fudido kkkkk. Vergonha vcs passam todo jogo, com aqueles 5, 10 mil de público"
São Paulo,lindolfo camisa 3,@sashiisensei,15 min,são paulo ta como cidade mais feliz assim como o rio de janeiro para cidade mais segura
Cruzeiro,Santos Júnio,@SantosJnio1,15 min,"Tem que ver o critério, extraclasse nível mundial no Brasil não tem ninguém. 
Extraclasse nível futebol brasileiro o Cruzeiro tem o Pereira, Gerson, KJ e ainda acrescento o Kaiki que pra lateral no Brasil é muito acima da média."
Flamengo,Luiz Henrique,@lhenrique2108,15 min,"3x1 Flamengo 
3x1 Palmeiras"
Flamengo,Onlyice,@AAice420,15 min,"Neymar contra o flamengo, esse aq n precisa nem de justificativa kkkkkkkkkk"
Grêmio,Fut do BR,@FutdoBR,15 min,Gol do Grêmio Atlético Sampaio. Elmi #CopaNorte
Flamengo,promotora de injustiçaᶜʳᶠ,@englotcrf,15 min,"flamengo vai estrear o manto branco, tamo fodido..."
São Paulo,Rods,@rodsgamerbr,15 min,"Aqui em São Paulo eu já vi uns 3 nomes diferentes pra isso: Italianinho, enrolado de presunto e queijo e até bauru"
Flamengo,Ferreira com 3Rᶜʳᶠ,@Caio_cfl,15 min,"A única jogadora do vôlei que eu seguia acabou de postar se despedindo do Flamengo, tomar no cu"
Palmeiras,Alisson CRF,@AlissonCrf14,15 min,"Nunca foi, era um jogador comum, 
Os torcedores do palmeiras quando o Richard rios saiu:"
Palmeiras,Coyotão da depre,@CoyotesBRA,15 min,"Pessoal hoje não tô vendo os jogos pelo combo reunião de pais + jogo do Palmeiras, então vão me atualizando aqui

O que tá rolando de bom??"
Santos,©$©,@BrunoXBarcelos_,15 min,"Tem o Nhozinho Santos que é muito parecido com o PV, inclusive. Aqui pra lotar nós anos mais recentes eu so lembro na época que o Sampaio tava replicando finais de Série D e C. No mais a turma aqui prefere ver jogo de carioca e Paulista na TV, infelizmente"
Flamengo,Mr LaZanha,@MLazanha,15 min,"Filho da puta ao invés de se preocupar com o futuro do Brasil, se preocupa com q bosta do Flamengo pqp, QI de chimpanzé da porra"
Flamengo,mari ४,@jenniemengo,16 min,a shakira postando foto no aterro do flamengo e colocando a localizacao COPACABANA pqp kkkkkkkkkkkkkk
Flamengo,Neto.,@zzneto,16 min,"Mesmo assim é um time forte. Com esse calendário e essa sequência do Flamengo, me parece uma decisão acertada."
Corinthians,o santos me deu depressão,@PeixeSocial,16 min,"Santos FC: 112 vitórias
Corinthians: 107 vitórias

Oq pode mudar é amistoso, torneios inexistentes hj em dia etc… numeros n se apagam. Fora q nesse seculo 21…"
Flamengo,PAPAULOCRF,@papaulocrf,16 min,"TIME BOM E TEM TUDO PRA GANHAR, PRA CIMA DELES FLAMENGO BOA SORTE "
Vasco,SuperVasco l Notícias sobre o Vasco,@SuperVasco,16 min,Sub-20: Melhores momentos de Vasco 1 x 0 Botafogo
Fluminense,ge Atlético-MG,@ge_galo,16 min,"Fluminense e Hulk chegam a acordo em reunião, e empresária se reunirá com Atlético-MG para acertar rescisão"
Cruzeiro,Portal UAI,@portaluai,16 min,"Dupla do Cruzeiro celebra torcida na Libertadores: ‘Não é normal, né?’"
